names,codes
"Acute Myeloid Leukemia with NPM1 Mutation, AML with Mutated NPM1, Acute Myeloid Leukemia with Cytoplasmic Nucleophosmin, Acute Myeloid Leukemia with Mutated NPM1, NPMc+ AML",C82431
"Acute Myeloid Leukemia with RUNX1 Mutation, Acute Myeloid Leukemia with Mutated RUNX1, Acute Myeloid Leukemia with Non-Germline Mutated RUNX1, Acute Myeloid Leukemia with RUNX1 Gene Mutation, Provisional entity: AML with mutated RUNX1",C129786
"Acute Myeloid Leukemia with a Variant KMT2A Rearrangement, AML with Other KMT2A Rearrangements, AML with Variant MLL Translocations, Acute Myeloid Leukemia with Other KMT2A Rearrangements, Acute Myeloid Leukemia with Variant MLL Rearrangement, Acute Myeloid Leukemia with Variant MLL Translocations, Acute Myeloid Leukemia with a Variant MLL Rearrangement, Acute Myeloid Leukemia with a Variant MLL Translocation",C6924
"Acute Myeloid Leukemia with del(17p), AML with del(17p)",C198963
"Acute Myeloid Leukemia with inv(16)(p13.1q22) or t(16;16)(p13.1;q22); CBFB-MYH11, AML with inv(16)(p13.1q22) or t(16;16)(p13.1;q22); CBFB-MYH11, AML with inv(16)(p13q22) or t(16;16) (p13.1;q22), (CBFB/MYH11), Acute Myeloid Leukemia with Abnormal Marrow Eosinophils, Acute Myeloid Leukemia with inv(16)(p13.1q22) or t(16;16)(p13.1;q22); CBFB-MYH11 Fusion, Acute Myeloid Leukemia with inv(16)(p13.1q22) or t(16;16)(p13.1;q22); CBFB::MYH11, Acute Myeloid Leukemia with inv(16)(p13.1q22) or t(16;16)(p13.1;q22); CBFB::MYH11 Fusion, Acute Myeloid Leukemia, CBF-beta/MYH11, Acute Myeloid Leukemia, CBFB-MYH11",C9287
"Acute Myeloid Leukemia with inv(16)(p13.1q22); CBFB-MYH11, Acute Myeloid Leukemia with inv(16)(p13.1q22); CBFB-MYH11 Fusion, Acute Myeloid Leukemia with inv(16)(p13.1q22); CBFB::MYH11, Acute Myeloid Leukemia with inv(16)(p13.1q22); CBFB::MYH11 Fusion, Acute Myeloid Leukemia with inv(16)(p13q22), Acute Myeloid Leukemia with inv(16)(p13q22)(CBFb/MYH11), Acute Myeloid Leukemia, inv(16)(p13q22), Acute myeloid leukemia, inv(16)(p13;q22)",C9018
"Acute Myeloid Leukemia with inv(3) (q21.3;q26.2); GATA2, MECOM, Acute Myeloid Leukemia with inv(3) (q21.3;q26.2); GATA2, EVI1, Acute Myeloid Leukemia with inv(3) (q21.3;q26.2); GATA2, MECOM(EVI1), Acute Myeloid Leukemia with inv(3)(q21.3;q26.2); GATA2::MECOM, Acute Myeloid Leukemia with inv(3)(q21q26.2); RPN1-EVI1",C122716
"Acute Myeloid Leukemia with inv(3)(q21.3;q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM, AML with MECOM Rearrangements, AML with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM, AML with inv(3)(q21q26.2) or t(3;3)(q21;q26.2); RPN1-EVI1, Acute Myeloid Leukemia with MECOM Rearrangements, Acute Myeloid Leukemia with inv(3) (q21.3;q26.2) or t(3;3) (q21.3;q26.2); GATA2, MECOM, Acute Myeloid Leukemia with inv(3)(q21.3;q26.2) or t(3;3)(q21.3;q26.2); GATA2, EVI1, Acute Myeloid Leukemia with inv(3)(q21.3;q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM(EVI1), Acute Myeloid Leukemia with inv(3)(q21.3;q26.2) or t(3;3)(q21.3;q26.2); GATA2::MECOM, Acute Myeloid Leukemia with inv(3)(q21q26.2) or t(3;3)(q21;q26.2); RPN1-EVI1",C82426
"Acute Myeloid Leukemia with t(16;16)(p13.1;q22); CBFB-MYH11, Acute Myeloid Leukemia with t(16;16)(p13.1;q22); CBFB-MYH11 Fusion, Acute Myeloid Leukemia with t(16;16)(p13.1;q22); CBFB::MYH11, Acute Myeloid Leukemia with t(16;16)(p13.1;q22); CBFB::MYH11 Fusion, Acute Myeloid Leukemia with t(16;16)(p13;q22), Acute Myeloid Leukemia, t(16;16)(p13;q22), Acute myeloid leukemia, t(16;16)(p 13;q 11)",C9019
"Acute Myeloid Leukemia with t(3;3) (q21.3;q26.2); GATA2, MECOM, AML with inv(3)(q21;q26.2) or t(3;3) (q21;q26.2);RPNI-EVI1, Acute Myeloid Leukemia with t(3;3) (q21.3;q26.2); GATA2, EVI1, Acute Myeloid Leukemia with t(3;3) (q21.3;q26.2); GATA2, MECOM(EVI1), Acute Myeloid Leukemia with t(3;3)(q21.3;q26.2); GATA2::MECOM, Acute Myeloid Leukemia with t(3;3)(q21;q26.2); RPN1-EVI1",C122717
"Acute Myeloid Leukemia with t(6;9), AML with t(6;9)(p23;q34); DEK-NUP214, AML with t(6;9)(p23;q34);DEK-NUP214, AML with t(6;9)(p23;q34.1);DEK-NUP214, Acute Myeloid Leukemia with t(6;9) (p22.3;q34.1); DEK-NUP214 Fusion, Acute Myeloid Leukemia with t(6;9) (p22.3;q34.1); DEK::NUP214 Fusion, Acute Myeloid Leukemia with t(6;9)(p22.3;q34); DEK-NUP214, Acute Myeloid Leukemia with t(6;9)(p22.3;q34.1); DEK-NUP214, Acute Myeloid Leukemia with t(6;9)(p22.3;q34.1); DEK::NUP214, Acute Myeloid Leukemia with t(6;9)(p23;q34); DEK-NUP214, Myeloid Leukemia with t(6;9) (p23;q34.1); DEK-NUP214",C82423
"Acute Myeloid Leukemia with t(8;21)(q22; q22.1); RUNX1-RUNX1T1, AML with t(8;21)(q22;q22), RUNX1 RUNX1T1, AML with t(8;21)(q22;q22); RUNX1-RUNX1T1, AML with t(8;21)(q22;q22.1); RUNX1-RUNX1T1, Acute Myeloid Leukemia with t(8;21)(q22; q22.1); RUNX1-RUNX1T1 Fusion, Acute Myeloid Leukemia with t(8;21)(q22; q22.1); RUNX1::RUNX1T1, Acute Myeloid Leukemia with t(8;21)(q22; q22.1); RUNX1::RUNX1T1 Fusion, Acute Myeloid Leukemia with t(8;21)(q22;q22), Acute Myeloid Leukemia with t(8;21)(q22;q22)(AML1(CBFa)/ETO), Acute Myeloid Leukemia with t(8;21)(q22;q22); RUNX1-RUNX1T1, Acute Myeloid Leukemia, t(8;21)(q22;q22)",C9288
"Acute Myeloid Leukemia with t(9;11)(p21.3;q23.3); MLLT3-KMT2A, AML with t(9;11)(p21.3;q23.3); KMT2A-MLLT3, AML with t(9;11)(p22;q33);MLLT3-MLL, Acute Myeloid Leukemia with t(9;11)(p21.3;q23.3); MLLT3 (AF9)-KMT2A, Acute Myeloid Leukemia with t(9;11)(p21.3;q23.3); MLLT3-KMT2A Fusion, Acute Myeloid Leukemia with t(9;11)(p21.3;q23.3); MLLT3-MLL, Acute Myeloid Leukemia with t(9;11)(p21.3;q23.3); MLLT3::KMT2A, Acute Myeloid Leukemia with t(9;11)(p21.3;q23.3); MLLT3::KMT2A Fusion, Acute Myeloid Leukemia with t(9;11)(p21.3;q23.3); MLLT3::MLL, Acute myeloid leukemia with t(9;11)(p22;q23); MLLT3-MLL",C82403
"Acute Myeloid Leukemia without Maturation, AML without Maturation, Acute M1 Myeloid Leukemia, Acute Myeloblastic Leukemia without Maturation, Acute Myelogenous Leukemia without Maturation, Acute Myeloid Leukemia without Maturation (FAB M1), FAB M1, M1, M1 Acute Myeloblastic Leukemia, M1 Acute Myeloblastic Leukemia without Maturation, M1 Acute Myelogenous Leukemia, M1 Acute Myelogenous Leukemia without Maturation, M1 Acute Myeloid Leukemia, M1 Acute Myeloid Leukemia without Maturation",C3249
"Acute Myeloid Leukemia, Myelodysplasia-Related, AML with Myelodysplasia-Related Changes, AML-MRC, Acute Myeloid Leukemia with Myelodysplasia-Related Changes",C7600
"Acute Myeloid Leukemia, Not Otherwise Specified, AML not otherwise specified, AML, NOS, AML, Not Otherwise Specified, Acute Myeloid Leukemia NOS, Acute Myeloid Leukemia Not Otherwise Categorized, Acute Myeloid Leukemia Not Otherwise Specified, Acute Myeloid Leukemia, NOS",C27753
"Acute Myelomonocytic Leukemia, AMML, Acute M4 Myeloid Leukemia, Acute Myelomonocytic Leukemia (FAB Type M4), Adult AMMoL, Adult Acute M4 Leukemia, Adult Acute Myelomonocytic Leukemia, Adult Acute Myelomonocytic Leukemia (M4), Childhood AMML, Childhood AMMoL, Childhood Acute M4 Leukemia, Childhood Acute Myelomonocytic Leukemia, Childhood Acute Myelomonocytic Leukemia (M4), M4, M4 Adult Acute Leukemia, M4 Adult Acute Myelomonocytic Leukemia, M4 Childhood Acute Myelomonocytic Leukemia, M4 OR Acute Myelomonocytic Leukemia, M4 Pediatric Acute Myelomonocytic Leukemia, Pediatric AMML, Pediatric AMMoL, Pediatric Acute M4 Leukemia, Pediatric Acute Myelomonocytic Leukemia","C7962, C7970, C7463"
Acute Pancreatitis,C95437
"Acute Promyelocytic Leukemia with PML-RARA, AML with t(15;17)(q24.1;q21.2), APL with PML-RARA, Acute Promyelocytic Leukemia with PML::RARA, Acute Promyelocytic Leukemia with t(15;17)(q22;q12); PML/RARA, Acute Promyelocytic Leukemia with t(15;17)(q24.1;q21.2); PML-RARA, Acute Promyelocytic Leukemia with t(15;17)(q24.1;q21.2); PML-RARA Fusion, Acute Promyelocytic Leukemia with t(15;17)(q24.1;q21.2); PML::RARA, Acute Promyelocytic Leukemia with t(15;17)(q24.1;q21.2); PML::RARA Fusion, Acute promyelocytic leukaemia, PML-RAR-alpha, Acute promyelocytic leukaemia, t(15;17)(q22;q11-12), Adult Acute Promyelocytic Leukemia with PML-RARA, Adult Acute Promyelocytic Leukemia with PML::RARA, Adult Acute Promyelocytic Leukemia with t(15;17)(q22;q12); PML-RARA, Adult Acute Promyelocytic Leukemia with t(15;17)(q24.1;q21.2)(PML/RARa), Adult Acute Promyelocytic Leukemia with t(15;17)(q24.1;q21.2); PML-RARA, Adult Acute Promyelocytic Leukemia with t(15;17)(q24.1;q21.2); PML-RARA Fusion, Adult Acute Promyelocytic Leukemia with t(15;17)(q24.1;q21.2); PML/RARA, Adult Acute Promyelocytic Leukemia with t(15;17)(q24.1;q21.2); PML::RARA Fusion, Childhood APL with t(15;17)(q24.1;q21.2); PML-RARA, Childhood APML with t(15;17)(q24.1;q21.2); PML-RARA, Childhood Acute Promyelocytic Leukemia with PML-RARA, Childhood Acute Promyelocytic Leukemia with t(15;17)(q22;q12); PML-RARA, Childhood Acute Promyelocytic Leukemia with t(15;17)(q24.1;q21.2); PML-RARA, Childhood Acute Promyelocytic Leukemia with t(15;17)(q24.1;q21.2); PML-RARA Fusion, Childhood Acute Promyelocytic Leukemia with t(15;17)(q24.1;q21.2); PML::RARA, Childhood Acute Promyelocytic Leukemia with t(15;17)(q24.1;q21.2); PML::RARA Fusion, M3 OR Acute Promyelocytic Leukemia with t(15;17)(q24.1;q21.2); PML-RARA","C9155, C3182, C7968"
"Acute Respiratory Distress Syndrome, ARDS, Adult RDS, Adult Respiratory Distress Syndrome",C3353
Acute Respiratory Failure,C27043
"Acute Undifferentiated Leukemia, Acute leukemia, NOS, Infant Acute Undifferentiated Leukemia, Leukemia Stem Cell, Stem Cell Acute Leukemia, Stem Cell Leukemia, Undifferentiated Acute Leukemia","C9298, C126110"
"Adamantinomatous Craniopharyngioma, ACP, Adamantinous Craniopharyngioma, Adamantinous Neoplasm of Rathke's Pouch, Adamantinous Rathke's Pouch Neoplasm, Adamantinous Rathke's Pouch Tumor, Adamantinous Tumor of Rathke's Pouch, Craniopharyngioma, adamantinomatous",C4726
Addiction,C3479
"Adenocarcinoma, ADENOCARCINOMA, MALIGNANT, Adenocarcinoma, NOS",C2852
"Adenocarcinoma In Situ, AIS, Adenocarcinoma in situ, NOS",C4123
Adenocarcinoma in Adenomatous Polyposis Coli,C4134
"Adenocarcinoma, Endocervical Type",C66951
"Adenoid Cystic Carcinoma, Adenocystic Carcinoma, Cylindroid Adenocarcinoma, adenoid cystic cancer",C2970
"Adenoma, ADENOMA, BENIGN, Adenoma, NOS",C2855
"Adenomatous Polyp, Adenomatous polyp, NOS, GI Tract Adenomatous Polyp, Gastrointestinal Tract Adenomatous Polyp, Polypoid Adenoma",C3764
"Adenosine Deaminase Deficiency, ADA-SCID, Adenosine Deaminase Severe Combined Immune Deficiency, Adenosine Deaminase Severe Combined Immunodeficiency",C3962
"Adenosquamous Lung Cancer, Adenosquamous Cell Lung Carcinoma, Adenosquamous Lung Carcinoma, Lung Adenosquamous Carcinoma",C9133
"Adenoviridae, ADV, Adenovirus",C14179
"Adenovirus Infection, AdV Infection, Adenoviral Infection",C115149
Adjustment Disorder,C92191
"Adrenal Cortex Carcinoma, Adenocarcinoma, Adrenocortical, Malignant, Adrenal Cortex Adenocarcinoma, Adrenal Cortex Cancer, Adrenal Cortical Adenocarcinoma, Adrenal Cortical Carcinoma, Adrenocortical Carcinoma, Adrenocortical carcinoma, NOS, CARCINOMA, ADRENOCORTICAL, MALIGNANT, Carcinoma of Adrenal Cortex, Carcinoma of the Adrenal Cortex, Cortical Cell Carcinoma, adrenocortical cancer, cancer of the adrenal cortex",C9325
"Adrenal Cortical Neoplasm, Adrenal Cortex Neoplasm, Adrenal Cortex Tumor, Adrenocortical Neoplasm, Adrenocortical Tumor",C2858
"Adrenal Gland Neoplasm, Adrenal Gland Tumor, Adrenal Neoplasm, Adrenal Neoplasms, Adrenal Tumor, Neoplasm of Adrenal Gland, Neoplasm of the Adrenal Gland, Tumor of Adrenal Gland, Tumor of the Adrenal Gland",C2859
"Adrenoleukodystrophy, Schilder Disease",C61252
"Adult Intracranial Meningioma, Adult Brain Meningioma",C9374
"Adult T-Cell Leukemia/Lymphoma, ATLL, Adult T Cell Lymphoma/Leukemia, Adult T-Cell Lymphoma/Leukemia, HTLV-1 Associated Adult T-Cell Lymphoma/Leukemia, HTLV-I Associated Adult T-Cell Leukemia/Lymphoma",C3184
Advanced Acral Melanoma,C212033
Advanced Adenocarcinoma,C159556
"Advanced Adenocarcinoma of Unknown Primary, Adenocarcinoma of Unknown Primary",C4039
Advanced Adenoid Cystic Carcinoma,C164012
Advanced Adnexal Carcinoma,C200063
Advanced Adrenal Gland Pheochromocytoma,C160853
Advanced Alveolar Soft Part Sarcoma,C188198
Advanced Ampulla of Vater Carcinoma,C171329
Advanced Anal Canal Squamous Cell Carcinoma,C173338
Advanced Anal Carcinoma,C170515
Advanced Anal Squamous Cell Carcinoma,C208366
Advanced Angiosarcoma,C168720
Advanced Appendix Adenocarcinoma,C182105
"Advanced B-Cell Neoplasm, Advanced B-Cell Malignancy, Advanced B-Cell Malignant Neoplasm",C148065
Advanced B-Cell Non-Hodgkin Lymphoma,C217099
Advanced Basal Cell Carcinoma,C172362
"Advanced Bile Duct Carcinoma, Advanced Bile Duct Cancer, Advanced Biliary Tract Cancer, Advanced Biliary Tract Carcinoma",C142870
Advanced Biliary Tract Carcinoma,C171331
Advanced Bladder Carcinoma,C167338
Advanced Bladder Urothelial Carcinoma,C163954
Advanced Bone Sarcoma,C162762
Advanced Breast Adenocarcinoma,C165700
Advanced Breast Carcinoma,C162648
Advanced Carcinoid Tumor,C156487
Advanced Carcinoma,C153171
Advanced Carcinoma Of Unknown Primary,C170960
Advanced Cervical Adenocarcinoma,C156304
Advanced Cervical Adenosquamous Carcinoma,C174032
Advanced Cervical Carcinoma,C156294
"Advanced Cervical Squamous Cell Carcinoma, Advanced Cervical Squamous Cell Carcinoma, Not Otherwise Specified",C174030
"Advanced Childhood Malignant Brain Neoplasm, Advanced Childhood Primary Malignant Brain Neoplasm",C187213
Advanced Childhood Malignant Solid Neoplasm,C187210
Advanced Cholangiocarcinoma,C162752
Advanced Chordoma,C173333
Advanced Chromophobe Renal Cell Carcinoma,C171579
Advanced Clear Cell Renal Cell Carcinoma,C159562
Advanced Clear Cell Sarcoma of Soft Tissue,C161586
Advanced Colon Adenocarcinoma,C162152
Advanced Colon Carcinoma,C167238
Advanced Colorectal Adenocarcinoma,C166257
Advanced Colorectal Carcinoma,C162475
Advanced Cutaneous Melanoma,C171572
"Advanced Cutaneous Melanoma of the Extremity, Advanced Extremity Melanoma, Advanced Melanoma of the Extremity",C155311
"Advanced Cutaneous Squamous Cell Carcinoma of the Head and Neck, Advanced Head and Neck Cutaneous Squamous Cell Carcinoma",C171574
Advanced Dedifferentiated Liposarcoma,C168715
Advanced Differentiated Thyroid Gland Carcinoma,C173980
Advanced Diffuse Intrinsic Pontine Glioma,C213343
Advanced Diffuse Large B-Cell Lymphoma,C171264
Advanced Digestive System Carcinoma,C156746
"Advanced Digestive System Neuroendocrine Neoplasm, Advanced Gastroenteropancreatic Neuroendocrine Neoplasm, Advanced Gastroenteropancreatic Neuroendocrine Tumor",C158089
"Advanced Digestive System Neuroendocrine Tumor G1, Advanced Digestive System NET G1",C179418
"Advanced Digestive System Neuroendocrine Tumor G2, Advanced Digestive System NET G2",C190711
"Advanced Distal Bile Duct Adenocarcinoma, Advanced Distal Cholangiocarcinoma",C176888
"Advanced Endometrial Adenocarcinoma, Not Otherwise Specified, Advanced Endometrial Adenocarcinoma",C170805
Advanced Endometrial Carcinoma,C159676
"Advanced Endometrial Carcinosarcoma, Advanced Uterine Corpus Carcinosarcoma",C158383
Advanced Endometrial Endometrioid Adenocarcinoma,C170810
Advanced Endometrial Serous Adenocarcinoma,C170809
Advanced Endometrial Undifferentiated Carcinoma,C198706
Advanced Endometrioid Adenocarcinoma,C170807
Advanced Ependymoma,C213345
Advanced Epithelioid Hemangioendothelioma,C168721
Advanced Epithelioid Mesothelioma,C175937
Advanced Epithelioid Sarcoma,C167380
Advanced Esophageal Adenocarcinoma,C166256
Advanced Esophageal Carcinoma,C160599
Advanced Esophageal Squamous Cell Carcinoma,C171607
"Advanced Estrogen Receptor-Positive Breast Carcinoma, Advanced Estrogen Receptor Positive Breast Adenocarcinoma, Advanced Estrogen Receptor Positive Breast Carcinoma, Advanced Estrogen Receptor-Positive Breast Adenocarcinoma",C192211
"Advanced Extracranial Malignant Solid Neoplasm, Advanced Extracranial Malignant Solid Tumor",C157335
Advanced Extrahepatic Bile Duct Carcinoma,C185072
Advanced Extrahepatic Cholangiocarcinoma,C213338
Advanced Extramammary Paget Disease,C200068
Advanced Extrapulmonary Large Cell Neuroendocrine Carcinoma,C191990
Advanced Extrapulmonary Neuroendocrine Carcinoma,C191982
Advanced Fallopian Tube Carcinoma,C167395
"Advanced Fallopian Tube High Grade Serous Adenocarcinoma, Advanced Fallopian Tube High-Grade Serous Adenocarcinoma",C203311
Advanced Fibrolamellar Carcinoma,C185067
Advanced Fibrosarcoma,C168716
Advanced Follicular Lymphoma,C172359
Advanced Gallbladder Carcinoma,C162755
Advanced Gastric Carcinoma,C165299
Advanced Gastroesophageal Junction Adenocarcinoma,C159548
"Advanced Gastrointestinal Stromal Tumor, Advanced GIST",C173502
Advanced Genitourinary System Carcinoma,C164143
Advanced Glioblastoma,C170978
"Advanced Glioma, Advanced Malignant Glioma",C213341
"Advanced HER2 Low Breast Adenocarcinoma, Advanced HER2 Low Breast Carcinoma, Advanced HER2-Low Breast Adenocarcinoma, Advanced HER2-Low Breast Carcinoma",C179555
"Advanced HER2 Negative Breast Carcinoma, Advanced HER2 Negative Breast Adenocarcinoma, Advanced HER2-Negative Breast Carcinoma",C168782
"Advanced HER2 Positive Breast Carcinoma, Advanced HER2-Positive Breast Carcinoma",C180925
"Advanced Head and Neck Cancer, Advanced Head and Neck Carcinoma",C129861
"Advanced Head and Neck Squamous Cell Cancer, Advanced Head and Neck Squamous Cell Carcinoma",C139291
Advanced Hepatoblastoma,C213347
"Advanced Hepatocellular Cancer, Advanced Adult Hepatocellular Carcinoma, Advanced Adult Hepatoma",C28302
Advanced Hepatocellular Carcinoma,C167336
Advanced Hilar Cholangiocarcinoma,C185070
Advanced Hodgkin Lymphoma,C172373
"Advanced Hormone Receptor-Negative Breast Carcinoma, Advanced Hormone Receptor Negative Breast Carcinoma",C190678
"Advanced Hormone Receptor-Positive Breast Carcinoma, Advanced Hormone Receptor Positive Breast Adenocarcinoma, Advanced Hormone Receptor Positive Breast Carcinoma",C185881
Advanced Human Papillomavirus-Related Malignant Neoplasm,C213052
"Advanced Hypopharyngeal Throat Squamous Cell Cancer, Advanced Hypopharyngeal Squamous Cell Carcinoma, Advanced Squamous Cell Carcinoma of the Hypopharynx",C150210
Advanced Intrahepatic Cholangiocarcinoma,C176891
Advanced Kaposi Sarcoma,C156476
Advanced Kidney Carcinoma,C172617
Advanced Kidney Medullary Carcinoma,C172620
Advanced Large Cell Neuroendocrine Carcinoma,C177802
"Advanced Laryngeal Throat Squamous Cell Cancer, Advanced Laryngeal Squamous Cell Carcinoma, Advanced Squamous Cell Carcinoma of the Larynx",C150211
Advanced Leiomyosarcoma,C165780
"Advanced Leukemia, Refractory Leukemia","C148426, C173533"
